#  airfoilCW                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =   400000
#  Ncrit =   9.0000
#
#    x           cf
    1.0403       0.0000    
    1.0507       0.0000    
    1.0626       0.0000    
    1.0762       0.0000    
    1.0916       0.0000    
    1.1092       0.0000    
    1.1294       0.0000    
    1.1523       0.0000    
    1.1786       0.0000    
    1.2085       0.0000    
    1.2426       0.0000    
    1.2815       0.0000    
    1.3260       0.0000    
    1.3767       0.0000    
    1.4346       0.0000    
    1.5006       0.0000    
    1.5760       0.0000    
    1.6620       0.0000    
    1.7601       0.0000    
    1.8721       0.0000    
    1.9999       0.0000    

   0.94225E-03  0.18683E-02
   0.14693E-02  0.49062E-02
   0.21248E-02  0.88276E-02
   0.29121E-02  0.10499E-01
   0.38351E-02  0.14460E-01
   0.48990E-02  0.16820E-01
   0.61110E-02  0.17441E-01
   0.74757E-02  0.19462E-01
   0.89933E-02  0.19146E-01
   0.10665E-01  0.18526E-01
   0.12491E-01  0.17988E-01
   0.14474E-01  0.16040E-01
   0.16623E-01  0.13749E-01
   0.18950E-01  0.10807E-01
   0.21473E-01  0.89327E-02
   0.24209E-01  0.66132E-02
   0.27175E-01  0.56010E-02
   0.30409E-01  0.43614E-02
   0.33958E-01  0.36317E-02
   0.37878E-01  0.29357E-02
   0.42226E-01  0.31316E-02
   0.47064E-01  0.33636E-02
   0.52455E-01  0.37567E-02
   0.58466E-01  0.42485E-02
   0.65178E-01  0.47525E-02
   0.72661E-01  0.51642E-02
   0.80952E-01  0.52247E-02
   0.90033E-01  0.51289E-02
   0.99857E-01  0.48822E-02
   0.11039      0.45744E-02
   0.12159      0.41780E-02
   0.13343      0.38889E-02
   0.14586      0.35813E-02
   0.15880      0.33771E-02
   0.17217      0.32249E-02
   0.18582      0.31952E-02
   0.19960      0.31614E-02
   0.21343      0.31209E-02
   0.22730      0.30117E-02
   0.24122      0.28945E-02
   0.25521      0.27223E-02
   0.26929      0.25912E-02
   0.28346      0.24326E-02
   0.29771      0.23171E-02
   0.31204      0.21877E-02
   0.32645      0.20725E-02
   0.34094      0.19620E-02
   0.35551      0.18552E-02
   0.37016      0.17472E-02
   0.38491      0.16489E-02
   0.39975      0.15482E-02
   0.41469      0.14673E-02
   0.42973      0.13961E-02
   0.44486      0.13380E-02
   0.46005      0.12947E-02
   0.47527      0.12713E-02
   0.49050      0.12579E-02
   0.50569      0.12510E-02
   0.52082      0.12461E-02
   0.53587      0.12318E-02
   0.55084      0.12053E-02
   0.56573      0.11594E-02
   0.58058      0.10927E-02
   0.59542      0.99929E-03
   0.61028      0.88547E-03
   0.62522      0.75835E-03
   0.64028      0.62540E-03
   0.65549      0.50004E-03
   0.67084      0.38690E-03
   0.68630      0.28858E-03
   0.70180      0.21030E-03
   0.71729      0.15165E-03
   0.73272      0.10826E-03
   0.74811      0.78362E-04
   0.76349      0.59779E-04
   0.77888      0.49525E-04
   0.79424      0.41345E-04
   0.80944      0.30919E-04
   0.82439      0.96065E-05
   0.83908     -0.24114E-04
   0.85356     -0.64828E-04
   0.86789     -0.10232E-03
   0.88201     -0.12709E-03
   0.89565     -0.13801E-03
   0.90855     -0.14051E-03
   0.92063     -0.14002E-03
   0.93197     -0.13854E-03
   0.94265     -0.13537E-03
   0.95258     -0.12804E-03
   0.96157     -0.11494E-03
   0.96963     -0.74894E-04
   0.97690     -0.34298E-04
   0.98358     -0.47994E-04
   0.98986     -0.85197E-04
   0.99593     -0.93756E-04
    1.0000     -0.86707E-04
    1.0001       0.0000    
    1.0048       0.0000    
    1.0101       0.0000    
    1.0163       0.0000    
    1.0233       0.0000    
    1.0312       0.0000    
    1.0403       0.0000    
    1.0507       0.0000    
    1.0626       0.0000    
    1.0762       0.0000    
    1.0916       0.0000    
    1.1092       0.0000    
    1.1294       0.0000    
    1.1523       0.0000    
    1.1786       0.0000    
    1.2085       0.0000    
    1.2426       0.0000    
    1.2815       0.0000    
    1.3260       0.0000    
    1.3767       0.0000    
    1.4346       0.0000    
    1.5006       0.0000    
    1.5760       0.0000    
    1.6620       0.0000    
    1.7601       0.0000    
    1.8721       0.0000    
    1.9999       0.0000    

